,가격,구매건수,리뷰 건수,찜 건수,개당 원가
0,37800,3700,1769,1723,11380.0
1,69000,857,423,768,14500.0
2,29000,1173,289,785,10500.0
3,38900,1934,1067,1208,11490.0
4,44900,1888,1039,1798,12090.0
5,119000,1234,382,880,19500.0
6,99000,431,806,3551,17500.0
7,93800,2014,1571,2063,16980.0
8,64500,592,639,2241,14050.0
9,39000,924,217,1116,11500.0
10,76900,239,49,883,15290.0
11,119000,793,450,2677,19500.0
12,129000,3867,4568,3507,20500.0
13,117900,1212,934,2359,19390.0
14,169000,185,67,772,24500.0
15,113000,1015,308,1019,18900.0
16,139000,49,5,741,21500.0
17,22500,2494,4507,629,9850.0
18,73900,1181,365,1107,14990.0
19,49000,307,78,737,12500.0
20,47900,601,4544,672,12390.0
21,68000,1059,465,420,14400.0
22,69000,878,336,1301,14500.0
23,39000,1631,539,439,11500.0
24,168000,357,66,1142,24400.0
25,151800,616,586,804,22780.0
26,109000,1166,5962,2376,18500.0
27,89000,392,166,1894,16500.0
28,83600,347,61,342,15960.0
29,38900,3563,1774,1639,11490.0
30,159000,154,23,1958,23500.0
31,77900,354,111,783,15390.0
32,109000,186,81,1591,18500.0
33,115000,879,216,1112,19100.0
34,30800,492,2976,1228,10680.0
35,29000,436,214,521,10500.0
36,20000,1004,2511,1175,9600.0
37,44900,294,68,280,12090.0
38,199000,135,41,451,27500.0
39,99000,292,44,1356,17500.0
40,89000,345,92,265,16500.0
41,105700,552,578,1140,18170.0
42,49500,2098,1324,1336,12550.0
43,59900,55,16,112,13590.0
44,64800,276,757,376,14080.0
45,89000,554,642,2150,16500.0
46,74900,899,1573,1382,15090.0
47,189000,465,90,322,26500.0
48,98900,373,157,596,17490.0
49,105000,677,810,1196,18100.0
50,31900,744,7685,2488,10790.0
51,42000,1143,2898,1403,11800.0
52,60000,81,16,107,13600.0
53,99000,137,32,566,17500.0
54,19900,562,1818,924,9590.0
55,139000,75,221,3739,21500.0
56,115000,95,7,107,19100.0
57,144870,97,75,2036,22087.0
58,199000,348,65,808,27500.0
59,49000,68,47,190,12500.0
60,79000,369,96,191,15500.0
61,64900,17,6,14,14090.0
62,35000,232,51,194,11100.0
63,59000,267,108,438,13500.0
64,49000,1705,823,772,12500.0
65,129000,544,701,1787,20500.0
66,109000,454,1206,4553,18500.0
67,145800,152,41,1696,22180.0
68,34400,198,134,603,11040.0
69,39900,356,449,615,11590.0
70,119000,422,160,409,19500.0
71,89000,444,118,840,16500.0
72,102900,9,2,577,17890.0
73,89000,182,136,2142,16500.0
74,29000,24,27,211,10500.0
75,69000,12,3,57,14500.0
76,69000,21,3,39,14500.0
77,49800,308,1166,4718,12580.0
78,69000,305,151,478,14500.0
79,61000,76,3,89,13700.0
80,55900,249,866,958,13190.0
81,109000,129,78,1217,18500.0
82,79000,395,1099,749,15500.0
83,169000,65,17,318,24500.0
84,32900,64,410,417,10890.0
85,39900,386,125,479,11590.0
86,11900,1264,629,320,7140.0
87,97700,492,4804,1539,17370.0
88,13000,1003,2019,412,7800.0
89,25000,9732,4947,1595,10100.0
90,109000,9,1,44,18500.0
91,139000,12,95,2383,21500.0
92,89000,209,34,628,16500.0
93,53400,302,63,105,12940.0
94,169000,46,12,725,24500.0
95,57000,26,8,56,13300.0
96,28500,55,10,123,10450.0
97,98000,628,266,403,17400.0
98,68900,38,24,236,14490.0
99,45900,1006,2100,717,12190.0
100,134980,173,49,219,21098.0
101,89000,43,215,139,16500.0
102,95000,77,2063,301,17100.0
103,44800,72,90,2146,12080.0
104,97000,38,9,113,17300.0
105,7900,790,187,74,4740.0
106,77900,67,15,136,15390.0
107,8200,26,161,119,4920.0
108,68900,69,8,71,14490.0
109,38800,254,406,567,11480.0
110,186000,10,1,92,26200.0
111,136000,283,373,465,21200.0
